Player;Period;Power;Traded Power;Price;Market Price;Market Pool Algorithm
RetailCO1;1;5369.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;2;5005.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;3;4807.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;4;4711.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;5;4702.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;6;4767.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;7;5097.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;8;5629.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;9;6369.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;10;6755.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;11;6802.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;12;6854.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;13;6647.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;14;6454.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;15;6575.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;16;6540.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;17;6546.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;18;6959.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;19;7273.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;20;7340.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;21;7153.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;22;6848.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;23;6499.0;1500.0;180.0;43.0;Symmetrical Pool
RetailCO1;24;5863.0;1500.0;180.0;43.0;Symmetrical Pool

Player;Period;Power;Traded Power;Price;Market Price;Market Pool Algorithm
GenCo1;1;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;2;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;3;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;4;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;5;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;6;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;7;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;8;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;9;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;10;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;11;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;12;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;13;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;14;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;15;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;16;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;17;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;18;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;19;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;20;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;21;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;22;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;23;1000.0;1000.0;36.0;43.0;Symmetrical Pool
GenCo1;24;1000.0;1000.0;36.0;43.0;Symmetrical Pool

Player;Period;Power;Traded Power;Price;Market Price;Market Pool Algorithm
GenCo2;1;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;2;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;3;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;4;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;5;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;6;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;7;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;8;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;9;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;10;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;11;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;12;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;13;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;14;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;15;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;16;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;17;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;18;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;19;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;20;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;21;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;22;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;23;500.0;500.0;43.0;43.0;Symmetrical Pool
GenCo2;24;500.0;500.0;43.0;43.0;Symmetrical Pool
